 Plouffe, T	MIN	3B	84	319	35	83	13	1	12	47	19	60	1	0	.260	.303	.420	.723
 Giavotella, J	LAA	2B	99	346	44	90	20	1	6	31	13	39	4	3	.260	.287	.376	.662
 Hundley, N	COL	C	83	289	30	75	20	1	10	48	25	65	0	0	.260	.320	.439	.759
 Peralta, J	STL	SS	82	289	37	75	17	1	8	29	20	56	0	0	.260	.307	.408	.715
 Szczur, M	CHC	LF	107	185	30	48	9	1	5	24	13	39	2	4	.259	.312	.400	.712
 Santana, C	CLE	DH	158	582	89	151	31	3	34	87	99	99	5	2	.259	.366	.498	.865
 Hernandez, G	SF	RF	26	54	7	14	5	0	2	4	3	11	0	1	.259	.298	.463	.761
 Myers, W	SD	1B	157	599	99	155	29	4	28	94	68	160	28	6	.259	.336	.461	.797
 Marte, K	SEA	SS	119	437	55	113	21	2	1	33	18	84	11	5	.259	.287	.323	.610
 Wolters, T	COL	C	71	205	27	53	15	2	3	30	21	53	4	1	.259	.327	.395	.723
 Rua, R	TEX	LF	99	240	40	62	8	1	8	22	21	76	9	0	.258	.331	.400	.731
 Duffy, M	TB	SS	91	333	41	86	14	2	5	28	23	53	8	5	.258	.310	.357	.668
 Polanco, G	PIT	RF	144	527	79	136	34	4	22	86	53	119	17	6	.258	.323	.463	.786
 Swihart, B	BOS	LF	19	62	9	16	0	3	0	5	11	17	0	1	.258	.365	.355	.720
 Torreyes, R	NYY	3B	72	155	20	40	7	4	1	12	10	20	2	1	.258	.305	.374	.680
 Suzuki, K	MIN	C	106	345	34	89	24	1	8	49	18	48	0	0	.258	.301	.403	.704
 Barnhart, T	CIN	C	115	377	34	97	23	1	7	51	36	72	1	0	.257	.323	.379	.702
 Amarista, A	SD	3B	65	140	9	36	2	0	0	11	8	26	9	2	.257	.295	.271	.567
 Joseph, T	PHI	1B	107	315	47	81	15	0	21	47	22	75	1	1	.257	.308	.505	.813
 Dickerson, A	SD	LF	84	253	39	65	16	2	10	37	26	44	5	1	.257	.333	.455	.788
 Phegley, J	OAK	C	25	78	11	20	6	0	1	10	5	13	0	0	.256	.314	.372	.686
 Mercer, J	PIT	SS	149	519	66	133	22	3	11	59	51	83	1	1	.256	.328	.374	.701
 Trumbo, M	BAL	RF	159	613	94	157	27	1	47	108	51	170	2	0	.256	.316	.533	.850
 Santana, D	MIL	RF	77	246	34	63	14	0	11	32	32	91	2	3	.256	.345	.447	.792
 McCutchen, A	PIT	CF	153	598	81	153	26	3	24	79	69	143	6	7	.256	.336	.430	.766
 Moya, S	DET	RF	31	94	9	24	4	2	5	11	5	38	0	1	.255	.290	.500	.790
 Holt, B	BOS	LF	94	290	45	74	16	0	7	34	27	58	4	3	.255	.322	.383	.705
 Iglesias, J	DET	SS	137	467	57	119	26	0	4	32	28	50	7	4	.255	.306	.336	.643
 Franco, M	PHI	3B	152	581	67	148	23	1	25	88	40	106	1	1	.255	.306	.427	.733
 Kang, J	PIT	3B	103	318	45	81	19	0	21	62	36	79	3	1	.255	.354	.513	.867
 Kendrick, H	LAD	LF	146	487	65	124	26	2	8	40	50	96	10	2	.255	.326	.366	.691
 Peterson, J	ATL	2B	115	350	45	89	16	1	7	29	52	69	5	5	.254	.350	.366	.715
 Jackson, A	CWS	CF	54	181	24	46	12	2	0	18	17	39	2	1	.254	.318	.343	.661
 Gonzalez, M	HOU	1B	141	484	55	123	26	3	13	51	22	118	12	6	.254	.293	.401	.694
 Francoeur, J	MIA	LF	125	307	33	78	15	1	7	34	20	90	2	2	.254	.297	.378	.675
 Tulowitzki, T	TOR	SS	131	492	54	125	21	0	24	79	43	101	1	0	.254	.318	.443	.761
 Adrianza, E	SF	2B	40	63	3	16	2	0	2	7	2	13	0	1	.254	.299	.381	.679
 Pina, M	MIL	C	33	71	4	18	4	0	2	12	10	15	0	1	.254	.346	.394	.740
 Lee, D	SEA	1B	104	292	33	74	9	0	14	49	20	74	0	0	.253	.312	.428	.740
 De Jesus, I	CIN	SS	104	221	21	56	10	0	1	20	17	51	3	1	.253	.311	.312	.623
