RK	Player	Team	Pos	G	AB	R	H	2B	3B	HR	RBI	BB	SO	SB	CS	AVG▼	OBP	SLG	OPS
201	 Pena, B	CIN	C	108	333	17	91	17	0	0	18	29	34	2	0	.273	.334	.324	.659
202	 Carrera, E	TOR	LF	91	172	27	47	8	0	3	26	11	45	2	1	.273	.321	.372	.693
203	 Ortiz, D	BOS	DH	146	528	73	144	37	0	37	108	77	95	0	1	.273	.360	.553	.913
204	 Reddick, J	OAK	RF	149	526	67	143	25	4	20	77	49	65	10	2	.272	.333	.449	.781
205	 Robinson, C	WSH	1B	126	309	44	84	15	1	10	34	37	52	0	0	.272	.358	.424	.782
206	 Carpenter, M	STL	3B	154	574	101	156	44	3	28	84	81	151	4	3	.272	.365	.505	.871
207	 Hernandez, C	PHI	SS	127	405	57	110	20	4	1	35	40	86	19	5	.272	.339	.348	.687
208	 Giavotella, J	LAA	2B	129	453	51	123	25	5	4	49	32	59	2	1	.272	.318	.375	.694
209	 Gordon, A	KC	LF	104	354	40	96	18	0	13	48	49	92	2	5	.271	.377	.432	.809
210	 Gonzalez, C	COL	RF	153	554	87	150	25	2	40	97	46	133	2	0	.271	.325	.540	.864
211	 Spangenberg, C	SD	2B	108	303	38	82	17	5	4	21	28	75	9	4	.271	.333	.399	.733
212	 Molina, Y	STL	C	136	488	34	132	23	2	4	61	32	59	3	1	.270	.310	.350	.660
213	 Jungmann, T	MIL	P	21	37	2	10	2	0	0	0	1	12	0	0	.270	.289	.324	.614
214	 Conforto, M	NYM	LF	56	174	30	47	14	0	9	26	17	39	0	1	.270	.335	.506	.841
214	 Young, D	BAL	RF	52	174	20	47	6	0	2	16	4	29	0	0	.270	.289	.339	.628
216	 Solarte, Y	SD	3B	152	526	63	142	33	4	14	63	34	56	1	0	.270	.320	.428	.748
217	 Shaw, T	BOS	3B	65	226	31	61	10	0	13	36	18	57	0	1	.270	.327	.487	.813
218	 Longoria, E	TB	3B	160	604	74	163	35	1	21	73	51	132	3	1	.270	.328	.435	.764
219	 Aybar, E	LAA	SS	156	597	74	161	30	1	3	44	25	73	15	6	.270	.301	.338	.639
220	 Jones, A	BAL	CF	137	546	74	147	25	3	27	82	24	102	3	1	.269	.308	.474	.782
221	 Perez, E	ATL	LF	47	119	10	32	4	0	0	5	7	23	3	1	.269	.331	.303	.633
222	 Walker, N	PIT	2B	151	543	69	146	32	3	16	71	44	110	4	1	.269	.328	.427	.756
223	 Denorfia, C	CHC	LF	103	212	18	57	11	1	3	18	15	56	0	1	.269	.319	.373	.691
224	 Sano, M	MIN	RF	80	279	46	75	17	1	18	52	53	119	1	1	.269	.385	.530	.916
225	 La Stella, T	CHC	2B	33	67	4	18	6	0	1	11	5	7	2	0	.269	.324	.403	.727
226	 Rosario, W	COL	1B	87	231	22	62	14	1	6	29	8	56	2	1	.268	.295	.416	.710
227	 Tolleson, S	TOR	2B	19	41	9	11	5	1	0	3	4	9	2	0	.268	.333	.439	.772
228	 Jennings, D	TB	LF	28	97	9	26	2	1	1	7	8	17	5	3	.268	.324	.340	.664
229	 Pham, T	STL	CF	52	153	28	41	7	5	5	18	19	41	2	0	.268	.347	.477	.824
230	 D'Arnaud, T	NYM	C	67	239	31	64	14	1	12	41	23	49	0	0	.268	.340	.485	.825
231	 Wieters, M	BAL	C	75	258	24	69	14	1	8	25	21	67	0	0	.267	.319	.422	.742
232	 Maybin, C	ATL	CF	141	505	65	135	18	2	10	59	45	102	23	6	.267	.327	.370	.697
233	 Rosario, E	MIN	LF	122	453	60	121	18	15	13	50	15	118	11	6	.267	.289	.459	.748
234	 Jackson, A	CHC	CF	136	491	56	131	25	3	9	48	29	126	17	10	.267	.311	.385	.696
235	 Hoes, L	HOU	RF	8	15	1	4	0	0	0	1	1	3	0	0	.267	.313	.267	.579
235	 Martinez, M	CLE	LF	16	30	7	8	2	0	0	2	1	12	0	1	.267	.290	.333	.624
237	 Seager, K	SEA	3B	161	623	85	166	37	0	26	74	54	98	6	6	.266	.328	.451	.779
238	 Shuck, J	CWS	RF	79	143	15	38	8	2	0	15	16	16	7	5	.266	.340	.350	.689
239	 Collins, T	DET	LF	60	192	18	51	11	3	4	25	13	43	2	1	.266	.316	.417	.732
240	 Simmons, A	ATL	SS	147	535	60	142	23	2	4	44	39	48	5	3	.265	.321	.338	.660
241	 Cabrera, A	TB	SS	143	505	66	134	28	5	15	58	36	107	6	3	.265	.315	.430	.744
242	 Stanton, G	MIA	RF	74	279	47	74	12	1	27	67	34	95	4	2	.265	.346	.606	.952
243	 Mauer, J	MIN	1B	158	592	69	157	34	2	10	66	67	112	2	1	.265	.338	.380	.718
244	 Crawford, C	LAD	LF	69	181	19	48	9	2	4	16	10	41	10	2	.265	.304	.403	.707
245	 Kemp, M	SD	RF	154	596	80	158	31	3	23	100	39	147	12	2	.265	.312	.443	.755
246	 Castro, S	CHC	SS	151	547	52	145	23	2	11	69	21	91	5	5	.265	.296	.375	.671
247	 Guyer, B	TB	LF	128	332	51	88	21	2	8	28	25	61	10	4	.265	.359	.413	.771
248	 Gregorius, D	NYY	SS	155	525	57	139	24	2	9	56	33	85	5	3	.265	.318	.370	.688
249	 Urrutia, H	BAL	LF	10	34	3	9	1	0	1	6	2	3	0	0	.265	.306	.382	.688
250	 Johnson, K	NYM	2B	111	310	38	82	11	0	14	47	23	81	2	1	.265	.314	.435	.750
